time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1971-08-04T17:58:16.410Z,36.9486667,-115.7258333,6,4.34,ml,9,277,,0.44,ci,ci3322430,2016-01-29T01:20:11.820Z,"68km SW of Alamo, NV",earthquake,5.13,31.61,0.342,10,reviewed,ci,ci
1971-08-04T10:46:05.320Z,34.352,-118.385,12.18,2.85,ml,10,141,,0.34,ci,ci3322429,2016-01-29T01:39:43.970Z,"9km NNW of Lake View Terrace, CA",earthquake,1.01,1.21,0.151,9,reviewed,ci,ci
1971-08-04T07:09:19.730Z,34.2038333,-117.5131667,4.14,2.75,ml,10,111,,0.31,ci,ci3322427,2016-01-29T01:20:11.290Z,"6km SSW of Lytle Creek, CA",earthquake,0.7,1.44,0.213,5,reviewed,ci,ci
1971-08-03T11:32:35.180Z,34.0015,-117.2878333,15.06,2.84,ml,9,106,,0.49,ci,ci3322425,2016-01-29T01:30:12.550Z,"4km SSE of Grand Terrace, CA",earthquake,1.18,0.98,0.016,5,reviewed,ci,ci
1971-08-02T04:44:45.370Z,36.7555,-119.9485,6,3.59,ml,6,282,,0.47,ci,ci3322424,2016-01-29T01:39:43.480Z,"8km SE of Biola, CA",earthquake,4.14,31.61,0.038,8,reviewed,ci,ci
1971-08-01T08:36:28.970Z,36.7416667,-119.9468333,6,3.22,ml,5,281,,0.29,ci,ci3322421,2016-01-29T01:15:19.480Z,"9km SE of Biola, CA",earthquake,2.71,31.61,0.027,4,reviewed,ci,ci
1971-08-01T06:37:49.620Z,36.7363333,-119.9711667,6,3.1,ml,4,298,,0.28,ci,ci3322420,2016-01-29T01:44:40.210Z,"8km E of Kerman, CA",earthquake,2.74,31.61,0.097,4,reviewed,ci,ci
1971-08-01T06:08:22.330Z,36.7575,-119.9321667,6,3.23,ml,5,282,,0.25,ci,ci3322419,2016-01-29T01:39:42.980Z,"9km NW of West Park, CA",earthquake,2.45,31.61,0.02,4,reviewed,ci,ci
1971-08-01T05:36:26.540Z,36.7728333,-119.966,6,3.18,ml,5,283,,0.32,ci,ci3322417,2016-01-29T01:30:12.070Z,"6km SE of Biola, CA",earthquake,2.99,31.61,0.028,4,reviewed,ci,ci
1971-07-29T05:40:09.030Z,35.7951667,-116.5008333,6,3.18,ml,4,295,,0.24,ci,ci3322414,2016-01-29T01:39:42.450Z,"25km WSW of Tecopa, CA",earthquake,2.32,31.61,0.109,4,reviewed,ci,ci
1971-07-27T17:47:04.110Z,34.6101667,-117.0848333,0.01,2.73,ml,9,188,,0.59,ci,ci3322411,2016-01-29T01:44:39.230Z,"15km NE of Apple Valley, CA",quarry blast,1.73,31.61,0.155,5,reviewed,ci,ci
1971-07-26T22:36:54.850Z,35.6116667,-119.9191667,6,3.49,ml,6,264,,0.42,ci,ci3322406,2016-01-29T01:30:11.500Z,"30km NNE of Simmler, CA",earthquake,3.83,31.61,0.155,9,reviewed,ci,ci
1971-07-26T15:40:11.210Z,33.9925,-117.2386667,10.73,2.58,ml,10,112,,0.42,ci,ci3322403,2016-01-29T01:39:41.950Z,"6km SSE of Loma Linda, CA",earthquake,1.03,1.61,0.161,3,reviewed,ci,ci
1971-07-26T03:50:00.260Z,34.4408333,-116.8011667,6,2.54,ml,7,183,,0.5,ci,ci3322398,2016-01-29T01:15:18.990Z,"15km E of Lucerne Valley, CA",earthquake,1.74,31.61,0.328,3,reviewed,ci,ci
1971-07-25T20:32:42.900Z,33.9966667,-117.2141667,8.79,2.84,ml,10,109,,0.35,ci,ci3322397,2016-01-29T01:20:10.300Z,"7km SSW of Redlands, CA",earthquake,0.94,2.23,0.038,5,reviewed,ci,ci
1971-07-25T17:31:29.700Z,33.9943333,-117.2218333,10.38,3.09,ml,13,110,,0.47,ci,ci3322396,2016-01-29T01:44:38.720Z,"7km SSE of Loma Linda, CA",earthquake,1.1,1.67,0.193,9,reviewed,ci,ci
1971-07-25T13:36:14.490Z,34.0106667,-117.1826667,3.53,2.97,ml,9,128,,0.54,ci,ci3322395,2016-01-29T01:15:18.500Z,"5km S of Redlands, CA",earthquake,1.48,2.22,0.256,7,reviewed,ci,ci
1971-07-25T13:34:31.320Z,34.0545,-117.1683333,3.39,3.01,ml,7,136,,0.51,ci,ci3322357,2016-01-29T01:44:38.200Z,"1km E of Redlands, CA",earthquake,1.48,2.58,0.223,7,reviewed,ci,ci
1971-07-24T15:05:14.420Z,35.7446667,-118.0685,6.79,2.5,ml,5,103,,0.08,ci,ci3322356,2016-01-29T01:35:03.590Z,"26km WNW of Inyokern, CA",earthquake,0.6,2.37,0.133,4,reviewed,ci,ci
1971-07-24T14:55:22.970Z,35.779,-117.9768333,1.19,2.96,ml,6,165,0.3105,0.35,ci,ci3322355,2016-01-29T01:30:11.000Z,"19km SSW of Little Lake, CA",earthquake,1.31,2.5,0.151,10,reviewed,ci,ci
1971-07-24T08:09:47.220Z,35.7531667,-118.0586667,0.33,3.14,ml,9,103,,0.42,ci,ci3322354,2016-01-29T01:39:41.430Z,"25km SW of Little Lake, CA",earthquake,1.09,2.39,0.095,11,reviewed,ci,ci
1971-07-24T02:14:39.540Z,38.1506667,-118.4145,6,3.34,ml,4,333,,0.69,ci,ci3322353,2016-01-29T01:15:18.000Z,"45km SSE of Hawthorne, NV",earthquake,19.24,31.61,0.308,6,reviewed,ci,ci
1971-07-24T00:59:47.900Z,34.3778333,-118.3983333,2.01,2.77,ml,11,137,,0.49,ci,ci3322352,2016-01-29T01:20:09.800Z,"11km ESE of Santa Clarita, CA",earthquake,1.26,2.07,0.191,10,reviewed,ci,ci
1971-07-23T10:38:21.830Z,34.3106667,-118.3275,3.67,2.86,ml,10,139,,0.41,ci,ci3322350,2016-01-29T01:30:10.470Z,"5km NE of Lake View Terrace, CA",earthquake,0.99,1.65,0.163,4,reviewed,ci,ci
1971-07-22T12:52:08.080Z,33.7353333,-117.4925,0,2.89,ml,8,161,,0.51,ci,ci3322347,2016-01-29T01:20:09.310Z,"12km NE of Trabuco Canyon, CA",earthquake,1.75,4.43,0.17,5,reviewed,ci,ci
1971-07-22T06:04:20.000Z,35.0301667,-117.7463333,6,2.69,ml,11,86,,0.45,ci,ci3342549,2016-01-29T01:15:17.510Z,"9km WNW of Boron, CA",earthquake,1.25,31.61,0.235,6,reviewed,ci,ci
1971-07-22T03:18:00.170Z,34.45,-118.4455,7.85,3.25,ml,12,128,,0.51,ci,ci3322344,2016-01-29T01:30:09.940Z,"7km ENE of Santa Clarita, CA",earthquake,1.3,2.42,0.134,11,reviewed,ci,ci
1971-07-22T01:02:24.840Z,34.3453333,-118.391,1.36,2.85,ml,10,141,,0.57,ci,ci3322342,2016-01-29T01:09:59.420Z,"8km NNE of Pacoima, CA",earthquake,1.54,2.69,0.114,9,reviewed,ci,ci
1971-07-21T13:33:00.620Z,37,-116,0.01,3.63,ml,10,252,,0.52,ci,ci3322341,2016-01-29T01:44:37.670Z,"68km E of Beatty, NV",nuclear explosion,99,31.61,0.169,8,reviewed,ci,ci
1971-07-21T07:56:39.220Z,36.2441667,-120.8483333,6,3.05,mh,7,194,,0.44,ci,ci3322336,2016-01-29T01:39:40.890Z,"25km E of King City, CA",earthquake,4.58,31.61,0.234,8,reviewed,ci,ci
1971-07-20T14:45:26.190Z,33.4216667,-119.1101667,6,3.19,ml,9,237,,0.47,ci,ci3322335,2016-01-29T01:44:37.180Z,"7km SW of Santa Barbara Is., CA",earthquake,2.48,31.61,0.152,7,reviewed,ci,ci
1971-07-20T06:58:34.890Z,33.4338333,-116.6425,23.12,2.71,ml,4,118,0.2008,0.17,ci,ci3322334,2016-01-29T01:25:15.890Z,"14km SSE of Anza, CA",earthquake,0.6,1.83,0.157,4,reviewed,ci,ci
1971-07-19T13:43:43.270Z,34.3726667,-118.399,6.94,2.82,ml,10,135,,0.61,ci,ci3322333,2016-01-29T01:44:36.680Z,"11km NNE of Pacoima, CA",earthquake,1.81,3.11,0.109,7,reviewed,ci,ci
1971-07-19T12:13:05.630Z,35.0953333,-119.0753333,6,2.86,ml,5,157,,0.38,ci,ci3322330,2016-01-29T01:30:09.440Z,"22km NW of Grapevine, CA",earthquake,1.91,31.61,0.419,4,reviewed,ci,ci
1971-07-17T23:28:26.410Z,34.3218333,-116.824,0.01,2.72,ml,10,121,,0.47,ci,ci3322325,2016-01-29T01:20:08.290Z,"7km NNE of Big Bear City, CA",quarry blast,1.03,31.61,0.051,5,reviewed,ci,ci
1971-07-17T14:53:43.690Z,33.2328333,-116.8438333,18.78,2.77,ml,5,150,0.1215,0.45,ci,ci3322324,2016-01-29T01:39:40.430Z,"8km W of Lake Henshaw, CA",earthquake,1.63,3.5,0.171,4,reviewed,ci,ci
1971-07-16T16:39:11.600Z,33.949,-118.3575,9.58,2.62,ml,8,163,,0.3,ci,ci3322322,2016-01-29T01:39:39.930Z,"1km NNW of Lennox, CA",earthquake,1.59,2.35,0.232,7,reviewed,ci,ci
1971-07-15T13:33:22.420Z,32.8265,-115.4723333,6,3.35,ml,5,99,0.5872,0.51,ci,ci3322318,2016-01-29T01:44:36.190Z,"9km W of Holtville, CA",earthquake,2.2,31.61,0.079,4,reviewed,ci,ci
1971-07-15T13:26:28.410Z,32.8136667,-115.4811667,6,3.08,ml,5,99,0.599,0.34,ci,ci3322317,2016-01-29T01:15:17.010Z,"8km ENE of El Centro, CA",earthquake,0.8,31.61,0.102,3,reviewed,ci,ci
1971-07-15T10:38:51.330Z,34.2313333,-117.2231667,0,3.19,ml,10,94,,0.6,ci,ci3322179,2016-01-29T01:35:02.990Z,"4km WSW of Lake Arrowhead, CA",earthquake,1.2,2.42,0.179,9,reviewed,ci,ci
1971-07-15T06:34:08.540Z,34.2058333,-117.2208333,0.01,2.58,ml,10,93,,0.76,ci,ci3322178,2016-01-29T01:09:58.920Z,"6km SSW of Lake Arrowhead, CA",earthquake,1.18,3.01,0.047,5,reviewed,ci,ci
1971-07-14T16:26:07.260Z,34.4128333,-118.3401667,0.01,2.99,ml,9,125,,0.62,ci,ci3322780,2016-01-29T01:30:08.880Z,"9km S of Agua Dulce, CA",earthquake,1.98,2.86,0.156,5,reviewed,ci,ci
1971-07-13T13:10:24.990Z,33.7868333,-120.3355,6,3.06,ml,7,303,,0.56,ci,ci3322778,2016-01-29T01:25:14.800Z,"27km S of San Miguel Is., CA",earthquake,4,31.61,0.109,6,reviewed,ci,ci
1971-07-13T02:41:54.380Z,33.476,-116.4293333,6,2.71,ml,7,126,0.3824,0.51,ci,ci3322776,2016-01-29T01:15:16.520Z,"24km SSW of La Quinta, CA",earthquake,1.37,31.61,0.095,4,reviewed,ci,ci
1971-07-13T01:09:51.450Z,33.2435,-116.8186667,4.91,2.81,ml,7,143,0.1158,0.66,ci,ci3322771,2016-01-29T01:15:16.020Z,"5km W of Lake Henshaw, CA",earthquake,1.93,3.13,0.053,5,reviewed,ci,ci
1971-07-10T10:19:50.500Z,38,-115.0491667,0.01,4.57,ml,9,308,2.699,2.81,ci,ci3322756,2016-01-29T01:25:14.260Z,"64km NW of Caliente, NV",earthquake,99,31.61,0.157,10,reviewed,ci,ci
1971-07-10T02:06:24.070Z,34.3563333,-118.4433333,0.01,2.86,ml,11,137,,0.71,ci,ci3322753,2016-01-29T01:15:15.500Z,"8km N of Pacoima, CA",earthquake,2.14,2.78,0.085,9,reviewed,ci,ci
1971-07-09T14:00:01.960Z,37,-116,0.01,3.55,ml,5,289,,0.43,ci,ci3322747,2016-01-29T01:20:07.790Z,"68km E of Beatty, NV",nuclear explosion,99,31.61,0.213,5,reviewed,ci,ci
1971-07-09T04:04:50.280Z,33.8465,-117.7126667,0.01,3.4,ml,14,65,,0.62,ci,ci3322746,2016-01-29T01:15:14.970Z,"10km ENE of Villa Park, CA",earthquake,1.11,2.18,0.306,11,reviewed,ci,ci
1971-07-08T14:00:01.860Z,37.1101667,-116.0513333,0.5,5.01,ml,6,282,,0.75,ci,ci3322744,2016-01-29T01:15:14.460Z,"66km ENE of Beatty, NV",nuclear explosion,99,31.61,0.152,11,reviewed,ci,ci
1971-07-07T22:45:10.250Z,34.3953333,-118.466,0,2.78,ml,10,139,,0.54,ci,ci3322742,2016-01-29T01:35:02.500Z,"4km ESE of Santa Clarita, CA",earthquake,1.34,1.82,0.043,7,reviewed,ci,ci
1971-07-06T23:34:56.860Z,34.3788333,-118.4623333,0.25,2.86,ml,10,140,,0.55,ci,ci3322735,2016-01-29T01:35:01.480Z,"6km SE of Santa Clarita, CA",earthquake,1.19,1.76,0.065,7,reviewed,ci,ci
1971-07-06T19:22:39.280Z,37.7673333,-116.5858333,6,4.02,ml,7,302,,0.65,ci,ci3322734,2016-01-29T01:44:35.160Z,"66km ESE of Tonopah, NV",earthquake,4.67,31.61,0.173,10,reviewed,ci,ci
1971-07-06T11:47:39.230Z,34.4218333,-118.4795,0.02,2.74,ml,9,138,,0.51,ci,ci3322732,2016-01-29T01:20:06.770Z,"2km ENE of Santa Clarita, CA",earthquake,1.23,2.08,0.038,5,reviewed,ci,ci
1971-07-05T18:04:48.210Z,33.4905,-116.4693333,4.16,2.54,ml,5,128,0.3561,0.44,ci,ci3322676,2016-01-29T01:15:13.970Z,"20km ESE of Anza, CA",earthquake,1.12,3.64,0.038,3,reviewed,ci,ci
1971-07-04T02:40:50.150Z,33.8831667,-118.6386667,6,2.62,ml,9,176,,0.46,ci,ci3322673,2016-01-29T01:30:08.420Z,"17km S of Las Flores, CA",earthquake,1.67,31.61,0.121,7,reviewed,ci,ci
1971-07-02T14:53:49.990Z,35.354,-118.4998333,0.19,2.88,ml,10,126,,0.52,ci,ci3322662,2016-01-29T01:35:00.910Z,"25km N of Tehachapi, CA",earthquake,1.22,2.87,0.081,9,reviewed,ci,ci
1971-07-02T09:18:32.800Z,34.2355,-117.5425,10.17,3.48,ml,11,107,,0.38,ci,ci3322658,2016-01-29T01:44:34.670Z,"5km WSW of Lytle Creek, CA",earthquake,0.71,1.53,0.104,10,reviewed,ci,ci
1971-07-01T09:37:56.990Z,34.0081667,-116.617,6,2.99,ml,9,115,,0.49,ci,ci3322654,2016-01-29T01:25:13.770Z,"6km SW of Morongo Valley, CA",earthquake,1.37,31.61,0.065,5,reviewed,ci,ci
1971-06-30T20:19:04.980Z,34.2831667,-118.341,4.66,3.09,ml,9,143,,0.5,ci,ci3322652,2016-01-29T01:25:13.240Z,"2km ENE of Lake View Terrace, CA",earthquake,1.49,3.08,0.257,8,reviewed,ci,ci
1971-06-29T18:30:00.600Z,37.1768333,-116.2115,0.4,4.42,ml,15,257,,0.7,ci,ci3322646,2016-01-29T01:39:38.920Z,"57km ENE of Beatty, NV",nuclear explosion,99,31.61,0.308,10,reviewed,ci,ci
1971-06-29T04:37:44.910Z,32.7353333,-115.967,6,3.43,ml,4,130,0.597,0.4,ci,ci3322645,2016-01-29T01:15:13.480Z,"2km E of Ocotillo, CA",earthquake,1.46,31.61,0.044,4,reviewed,ci,ci
1971-06-26T21:20:08.350Z,34.3506667,-118.3286667,7.49,2.99,ml,10,128,,0.33,ci,ci3322641,2016-01-29T01:30:07.930Z,"9km NNE of Lake View Terrace, CA",earthquake,0.93,1.77,0.044,8,reviewed,ci,ci
1971-06-26T05:19:01.670Z,35.8308333,-116.838,6,3.23,ml,7,235,,0.49,ci,ci3322610,2016-01-29T01:30:07.360Z,"49km E of Trona, CA",earthquake,4.26,31.61,0.151,8,reviewed,ci,ci
1971-06-26T01:10:11.830Z,34.423,-118.4663333,6,2.51,ml,8,138,,0.52,ci,ci3322607,2016-01-29T01:44:33.680Z,"4km E of Santa Clarita, CA",earthquake,2.3,4.7,0.106,5,reviewed,ci,ci
1971-06-25T03:34:02.850Z,33.526,-118.9921667,6,2.89,ml,8,209,,0.4,ci,ci3322604,2016-01-29T01:44:33.150Z,"9km NE of Santa Barbara Is., CA",earthquake,1.86,31.61,0.071,7,reviewed,ci,ci
1971-06-24T14:00:00.670Z,37.1466667,-116.0668333,0.5,4.65,ml,14,257,,0.53,ci,ci3322586,2016-01-29T01:20:05.740Z,"66km ENE of Beatty, NV",nuclear explosion,99,31.61,0.3,10,reviewed,ci,ci
1971-06-24T13:58:42.680Z,34.29,-118.4528333,0.23,2.69,ml,10,158,,0.52,ci,ci3322584,2016-01-29T01:35:00.410Z,"2km WNW of Pacoima, CA",earthquake,1.5,1.33,0.124,5,reviewed,ci,ci
1971-06-24T10:22:58.890Z,34.2891667,-118.4946667,0.02,2.67,ml,11,147,,0.5,ci,ci3322581,2016-01-29T01:44:32.120Z,"2km NNE of Granada Hills, CA",earthquake,1.79,1.51,0.226,10,reviewed,ci,ci
1971-06-23T15:30:00.290Z,37.022,-116.0226667,0.5,4.38,ml,12,253,,0.46,ci,ci3322576,2016-01-29T01:20:05.210Z,"66km E of Beatty, NV",nuclear explosion,99,31.61,0.154,9,reviewed,ci,ci
1971-06-23T01:34:00.250Z,34.1036667,-117.336,16.41,2.81,ml,10,133,,0.4,ci,ci3322571,2016-01-29T01:15:12.000Z,"3km E of Rialto, CA",earthquake,0.91,1.4,0.198,4,reviewed,ci,ci
1971-06-22T23:58:39.000Z,34.4308333,-118.488,4.59,2.7,ml,11,135,,0.62,ci,ci3322570,2016-01-29T01:20:04.640Z,"2km NE of Santa Clarita, CA",earthquake,1.84,3.66,0.11,5,reviewed,ci,ci
1971-06-22T10:41:17.870Z,33.7151667,-117.4898333,1.63,4.22,ml,15,147,,0.54,ci,ci3322532,2016-01-29T01:30:06.830Z,"11km NE of Trabuco Canyon, CA",earthquake,1.23,2.45,0.082,8,reviewed,ci,ci
1971-06-22T09:53:59.260Z,34.4275,-118.3725,6,2.83,ml,9,126,,0.45,ci,ci3322531,2016-01-29T01:39:37.850Z,"9km SSW of Agua Dulce, CA",earthquake,1.51,31.61,0.111,7,reviewed,ci,ci
1971-06-22T01:55:09.660Z,32.8988333,-115.983,6,3.41,ml,6,119,,0.71,ci,ci3322530,2016-01-29T01:34:59.860Z,"18km N of Ocotillo, CA",earthquake,2.16,31.61,0.03,5,reviewed,ci,ci
1971-06-22T01:15:56.370Z,34.2953333,-118.371,2.1,2.68,ml,9,174,,0.45,ci,ci3322516,2016-01-29T01:20:04.140Z,"3km NNW of Lake View Terrace, CA",earthquake,1.87,1.51,0.095,7,reviewed,ci,ci
1971-06-22T00:24:24.640Z,34.2435,-118.2118333,0.01,3.34,ml,11,120,,0.49,ci,ci3322512,2016-01-29T01:39:37.330Z,"2km ENE of La Crescenta-Montrose, CA",earthquake,1.23,1.99,0.135,10,reviewed,ci,ci
1971-06-21T19:45:18.330Z,33.7741667,-117.9253333,6,2.83,ml,8,205,,0.45,ci,ci3322508,2016-01-29T01:25:12.740Z,"3km E of Garden Grove, CA",earthquake,2.07,31.61,0.159,7,reviewed,ci,ci
1971-06-21T19:24:07.400Z,33.8568333,-115.7875,6,3.31,ml,6,163,,0.69,ci,ci3322506,2016-01-29T01:15:11.500Z,"39km WNW of Desert Center, CA",earthquake,2.5,31.61,0.039,5,reviewed,ci,ci
1971-06-21T18:27:33.350Z,34.2285,-118.5215,0.05,2.69,ml,10,151,,0.39,ci,ci3322502,2016-01-29T01:09:58.390Z,"1km ESE of Northridge, CA",earthquake,1.52,2.32,0.207,9,reviewed,ci,ci
1971-06-21T16:01:08.790Z,34.313,-118.4585,10.78,3.92,ml,13,141,,0.52,ci,ci3322499,2016-01-29T01:30:06.330Z,"4km NNW of Pacoima, CA",earthquake,1.47,1.91,0.112,10,reviewed,ci,ci
1971-06-20T12:41:33.760Z,36.124,-120.8106667,6,3.85,ml,10,285,,0.61,ci,ci3322486,2016-01-29T01:44:31.100Z,"30km ESE of King City, CA",earthquake,4.21,31.61,0.088,10,reviewed,ci,ci
1971-06-19T08:17:58.860Z,36.9753333,-121.6335,6,3.57,ml,9,183,,0.37,ci,ci3322482,2016-01-29T01:20:03.080Z,"7km WSW of Gilroy, CA",earthquake,2.49,31.61,0.067,4,reviewed,ci,ci
1971-06-18T17:11:40.680Z,34.0691667,-116.8226667,6,2.67,ml,7,174,,0.4,ci,ci3322479,2016-01-29T01:39:35.270Z,"17km NNE of Banning, CA",earthquake,1.25,31.61,0.084,5,reviewed,ci,ci
1971-06-18T13:21:30.110Z,32.8601667,-115.596,6,3.54,ml,5,118,,0.29,ci,ci3322477,2016-01-29T01:30:05.830Z,"3km WNW of Imperial, CA",earthquake,1.39,31.61,0.146,7,reviewed,ci,ci
1971-06-18T11:00:15.350Z,34.3295,-118.4391667,1.81,2.76,ml,12,140,,0.55,ci,ci3322473,2016-01-29T01:20:02.520Z,"5km N of Pacoima, CA",earthquake,1.23,2.19,0.081,7,reviewed,ci,ci
1971-06-17T22:26:57.390Z,34.6021667,-117.1055,0.42,2.94,ml,10,150,,0.56,ci,ci3322605,2016-01-29T01:20:01.990Z,"14km NNE of Apple Valley, CA",quarry blast,1.52,5.24,0.055,5,reviewed,ci,ci
1971-06-16T14:50:00.660Z,37.022,-116.0226667,0.5,3.93,ml,12,253,,0.59,ci,ci3322588,2016-01-29T01:25:11.680Z,"66km E of Beatty, NV",nuclear explosion,99,31.61,0.236,11,reviewed,ci,ci
1971-06-16T06:41:07.290Z,34.9466667,-116.7085,6,2.84,ml,6,223,,0.54,ci,ci3322466,2016-01-29T01:44:30.600Z,"29km E of Barstow, CA",earthquake,3.24,31.61,0.03,3,reviewed,ci,ci
1971-06-15T22:12:49.910Z,35.017,-117.6943333,0.01,2.96,ml,10,90,,0.53,ci,ci3322462,2016-04-02T06:37:33.868Z,"4km WNW of Boron, CA",quarry blast,1.32,31.61,,9,reviewed,ci,ci
1971-06-15T16:26:18.200Z,35.0508333,-119.0273333,6,3.49,ml,11,151,,0.39,ci,ci3322461,2016-01-29T01:15:10.940Z,"15km NW of Grapevine, CA",earthquake,1.19,31.61,0.07,10,reviewed,ci,ci
1971-06-13T17:53:38.730Z,35.1208333,-118.633,6,3.07,ml,10,183,,0.49,ci,ci3322459,2016-01-29T01:34:58.860Z,"17km W of Tehachapi, CA",earthquake,2.14,31.61,0.046,9,reviewed,ci,ci
1971-06-09T11:58:08.940Z,34.188,-117.4896667,4.07,2.71,ml,9,121,,0.29,ci,ci3322453,2016-01-29T01:25:11.150Z,"8km S of Lytle Creek, CA",earthquake,0.66,1.75,0.153,6,reviewed,ci,ci
1971-06-09T04:09:25.700Z,33.2288333,-116.8246667,5.31,2.7,mh,4,180,0.1284,0.7,ci,ci12315695,2016-01-29T01:09:57.430Z,"6km WSW of Lake Henshaw, CA",earthquake,17.07,7.17,,0,reviewed,ci,ci
1971-06-08T06:15:48.310Z,34.4718333,-118.4395,8.09,3.05,ml,10,124,,0.35,ci,ci3322450,2016-01-29T01:15:09.950Z,"9km NE of Santa Clarita, CA",earthquake,1.16,1.84,0.185,11,reviewed,ci,ci
1971-06-08T06:11:41.450Z,34.4526667,-118.466,9.04,2.92,ml,11,129,,0.57,ci,ci3322447,2016-01-29T01:15:09.420Z,"6km NE of Santa Clarita, CA",earthquake,1.82,2.59,0.211,9,reviewed,ci,ci
1971-06-06T03:49:10.120Z,34.5731667,-116.795,6,3.23,ml,11,158,,0.42,ci,ci3322934,2016-01-29T01:44:29.540Z,"21km NE of Lucerne Valley, CA",earthquake,1,31.61,0.062,8,reviewed,ci,ci
1971-06-05T13:12:13.190Z,32.4911667,-115.223,6,3.3,mh,4,159,0.3522,0.68,ci,ci12315691,2016-01-29T01:15:08.940Z,"15km ESE of Puebla, B.C., MX",earthquake,3.02,31.61,,0,reviewed,ci,ci
1971-06-04T03:40:46.000Z,34.3901667,-118.3868333,9.31,2.53,ml,8,134,,0.4,ci,ci3322933,2016-01-29T01:34:58.370Z,"11km ESE of Santa Clarita, CA",earthquake,1.43,2.08,0.081,5,reviewed,ci,ci
1971-06-03T13:26:25.480Z,34.3976667,-118.4243333,11.92,2.89,ml,10,138,,0.36,ci,ci3322931,2016-01-29T01:30:05.340Z,"8km ESE of Santa Clarita, CA",earthquake,0.92,1.39,0.226,6,reviewed,ci,ci
1971-06-03T06:59:24.600Z,34.4745,-118.3693333,0.01,2.8,mh,4,138,,0.68,ci,ci12315687,2016-04-02T07:20:24.287Z,"5km WSW of Agua Dulce, CA",earthquake,7.74,18.63,,0,reviewed,ci,ci
1971-06-03T06:58:55.820Z,34.4785,-118.4541667,2.11,3.3,ml,11,125,,0.4,ci,ci3322930,2016-01-29T01:30:04.780Z,"8km NE of Santa Clarita, CA",earthquake,1.01,2.19,0.072,8,reviewed,ci,ci
1971-06-02T18:00:05.960Z,34.2205,-118.6171667,5.11,2.52,ml,6,224,,0.36,ci,ci3322929,2016-01-29T01:20:01.020Z,"2km NNW of Canoga Park, CA",earthquake,2.93,4.93,0.205,3,reviewed,ci,ci
1971-06-02T11:52:01.300Z,34.3371667,-118.4823333,0,3.51,ml,11,151,,0.65,ci,ci3322927,2016-01-29T01:09:56.910Z,"7km NW of Pacoima, CA",earthquake,1.39,2.35,0.09,9,reviewed,ci,ci
1971-06-01T09:25:08.400Z,34.4286667,-118.3848333,0.05,3.58,ml,9,125,,0.51,ci,ci3322926,2016-01-29T01:39:34.740Z,"9km SW of Agua Dulce, CA",earthquake,1.2,2.22,0.117,10,reviewed,ci,ci
1971-05-29T03:18:43.230Z,34.359,-118.2726667,0,3.27,ml,10,117,0.223,0.5,ci,ci3322921,2016-01-29T01:20:00.540Z,"12km NNE of Sunland, CA",earthquake,1.11,2.29,0.224,11,reviewed,ci,ci
1971-05-26T18:16:53.050Z,33.262,-116.7756667,7.9,3.02,ml,8,137,0.1168,0.45,ci,ci3322919,2016-01-29T01:25:09.630Z,"2km NNW of Lake Henshaw, CA",earthquake,1.58,1.88,0.252,5,reviewed,ci,ci
1971-05-25T10:02:53.270Z,33.106,-116.379,6,4.09,ml,6,120,,0.49,ci,ci3322917,2016-01-29T01:34:57.440Z,"17km S of Borrego Springs, CA",earthquake,1.53,31.61,0.08,11,reviewed,ci,ci
1971-05-24T22:05:09.460Z,34.7141667,-116.3718333,0.01,2.81,ml,8,179,0.686,0.53,ci,ci3322916,2016-01-29T01:15:08.460Z,"19km W of Ludlow, CA",quarry blast,2.17,31.61,0.141,5,reviewed,ci,ci
1971-05-24T12:37:10.160Z,34.4013333,-118.4168333,1.24,3.57,ml,10,132,0.3241,0.41,ci,ci3322915,2016-01-29T01:20:00.000Z,"8km ESE of Santa Clarita, CA",earthquake,0.86,1.64,0.07,10,reviewed,ci,ci
1971-05-24T05:20:28.420Z,36.081,-117.6753333,6,3.11,ml,6,161,0.2721,0.54,ci,ci3322914,2016-01-29T01:30:03.750Z,"25km E of Coso Junction, CA",earthquake,1.94,31.61,0.513,6,reviewed,ci,ci
1971-05-24T04:10:30.890Z,36.0586667,-117.6788333,0,2.73,ml,5,159,0.2512,0.57,ci,ci3322912,2016-01-29T01:15:08.010Z,"24km E of Coso Junction, CA",earthquake,1.89,4.25,0.165,4,reviewed,ci,ci
1971-05-22T20:29:33.670Z,33.1175,-116.3901667,6,3.77,ml,8,117,0.4607,0.51,ci,ci3322909,2016-01-29T01:25:09.090Z,"16km S of Borrego Springs, CA",earthquake,1.44,31.61,0.125,8,reviewed,ci,ci
1971-05-22T10:30:26.700Z,32.0123333,-115.7551667,6,3.39,ml,3,275,,0.48,ci,ci3322907,2016-01-29T01:19:59.510Z,"60km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,5.5,31.61,0.166,5,reviewed,ci,ci
1971-05-20T17:30:55.140Z,32.9753333,-116.3071667,6,3.06,ml,5,141,0.4256,0.53,ci,ci3322906,2016-01-29T01:34:56.820Z,"25km SW of Ocotillo Wells, CA",earthquake,2,31.61,0.193,4,reviewed,ci,ci
